0,4,4,4,88
0,4,4,8,84
0,4,4,12,80
0,4,4,16,76
0,4,4,20,72
0,4,4,24,68
0,4,4,28,64
0,4,4,32,60
0,4,4,36,56
0,4,4,40,52
0,4,4,44,48
0,4,4,48,44
0,4,4,52,40
0,4,4,56,36
0,4,4,60,32
0,4,4,64,28
0,4,4,68,24
0,4,4,72,20
0,4,4,76,16
0,4,4,80,12
0,4,4,84,8
0,4,4,88,4
0,4,4,92,0
0,4,8,0,88
0,4,8,4,84
0,4,8,8,80
0,4,8,12,76
0,4,8,16,72
0,4,8,20,68
0,4,8,24,64
0,4,8,28,60
0,4,8,32,56
0,4,8,36,52
0,4,8,40,48
0,4,8,44,44
0,4,8,48,40
0,4,8,52,36
0,4,8,56,32
0,4,8,60,28
0,4,8,64,24
0,4,8,68,20
0,4,8,72,16
0,4,8,76,12
0,4,8,80,8
0,4,8,84,4
0,4,8,88,0
0,4,12,0,84
0,4,12,4,80
0,4,12,8,76
0,4,12,12,72
0,4,12,16,68
0,4,12,20,64
0,4,12,24,60
0,4,12,28,56
0,4,12,32,52
0,4,12,36,48
0,4,12,40,44
0,4,12,44,40
0,4,12,48,36
0,4,12,52,32
0,4,12,56,28
0,4,12,60,24
0,4,12,64,20
0,4,12,68,16
0,4,12,72,12
0,4,12,76,8
0,4,12,80,4
0,4,12,84,0
0,4,16,0,80
0,4,16,4,76
0,4,16,8,72
0,4,16,12,68
0,4,16,16,64
0,4,16,20,60
0,4,16,24,56
0,4,16,28,52
0,4,16,32,48
0,4,16,36,44
0,4,16,40,40
0,4,16,44,36
0,4,16,48,32
0,4,16,52,28
0,4,16,56,24
0,4,16,60,20
0,4,16,64,16
0,4,16,68,12
0,4,16,72,8
0,4,16,76,4
0,4,16,80,0
0,4,20,0,76
0,4,20,4,72
0,4,20,8,68
0,4,20,12,64
0,4,20,16,60
0,4,20,20,56
0,4,20,24,52
0,4,20,28,48
0,4,20,32,44
0,4,20,36,40
0,4,20,40,36
0,4,20,44,32
0,4,20,48,28
0,4,20,52,24
0,4,20,56,20
0,4,20,60,16
0,4,20,64,12
0,4,20,68,8
0,4,20,72,4
0,4,20,76,0
0,4,24,0,72
0,4,24,4,68
0,4,24,8,64
0,4,24,12,60
0,4,24,16,56
0,4,24,20,52
0,4,24,24,48
0,4,24,28,44
0,4,24,32,40
0,4,24,36,36
0,4,24,40,32
0,4,24,44,28
0,4,24,48,24
0,4,24,52,20
0,4,24,56,16
0,4,24,60,12
0,4,24,64,8
0,4,24,68,4
0,4,24,72,0
0,4,28,0,68
0,4,28,4,64
0,4,28,8,60
0,4,28,12,56
0,4,28,16,52
0,4,28,20,48
0,4,28,24,44
0,4,28,28,40
0,4,28,32,36
0,4,28,36,32
0,4,28,40,28
0,4,28,44,24
0,4,28,48,20
0,4,28,52,16
0,4,28,56,12
0,4,28,60,8
0,4,28,64,4
0,4,28,68,0
0,4,32,0,64
0,4,32,4,60
0,4,32,8,56
0,4,32,12,52
0,4,32,16,48
0,4,32,20,44
0,4,32,24,40
0,4,32,28,36
0,4,32,32,32
0,4,32,36,28
0,4,32,40,24
0,4,32,44,20
0,4,32,48,16
0,4,32,52,12
0,4,32,56,8
0,4,32,60,4
0,4,32,64,0
0,4,36,0,60
0,4,36,4,56
0,4,36,8,52
0,4,36,12,48
0,4,36,16,44
0,4,36,20,40
0,4,36,24,36
0,4,36,28,32
0,4,36,32,28
0,4,36,36,24
0,4,36,40,20
0,4,36,44,16
0,4,36,48,12
0,4,36,52,8
0,4,36,56,4
0,4,36,60,0
0,4,40,0,56
0,4,40,4,52
0,4,40,8,48
0,4,40,12,44
0,4,40,16,40
0,4,40,20,36
0,4,40,24,32
0,4,40,28,28
0,4,40,32,24
0,4,40,36,20
0,4,40,40,16
0,4,40,44,12
0,4,40,48,8
0,4,40,52,4
0,4,40,56,0
0,4,44,0,52
0,4,44,4,48
0,4,44,8,44
0,4,44,12,40
0,4,44,16,36
0,4,44,20,32
0,4,44,24,28
0,4,44,28,24
0,4,44,32,20
0,4,44,36,16
0,4,44,40,12
0,4,44,44,8
0,4,44,48,4
0,4,44,52,0
0,4,48,0,48
0,4,48,4,44
0,4,48,8,40
0,4,48,12,36
0,4,48,16,32
0,4,48,20,28
0,4,48,24,24
0,4,48,28,20
0,4,48,32,16
0,4,48,36,12
0,4,48,40,8
0,4,48,44,4
0,4,48,48,0
0,4,52,0,44
0,4,52,4,40
0,4,52,8,36
0,4,52,12,32
0,4,52,16,28
0,4,52,20,24
0,4,52,24,20
0,4,52,28,16
0,4,52,32,12
0,4,52,36,8
0,4,52,40,4
0,4,52,44,0
0,4,56,0,40
0,4,56,4,36
0,4,56,8,32
0,4,56,12,28
0,4,56,16,24
0,4,56,20,20
0,4,56,24,16
0,4,56,28,12
0,4,56,32,8
0,4,56,36,4
0,4,56,40,0
