,Actif_1,Actif_2,Actif_3,Actif_4,Actif_5
540,0,4,36,0,60
541,0,4,36,4,56
542,0,4,36,8,52
543,0,4,36,12,48
544,0,4,36,16,44
545,0,4,36,20,40
546,0,4,36,24,36
547,0,4,36,28,32
548,0,4,36,32,28
549,0,4,36,36,24
550,0,4,36,40,20
551,0,4,36,44,16
552,0,4,36,48,12
553,0,4,36,52,8
554,0,4,36,56,4
555,0,4,36,60,0
556,0,4,40,0,56
557,0,4,40,4,52
558,0,4,40,8,48
559,0,4,40,12,44
560,0,4,40,16,40
561,0,4,40,20,36
562,0,4,40,24,32
563,0,4,40,28,28
564,0,4,40,32,24
565,0,4,40,36,20
566,0,4,40,40,16
567,0,4,40,44,12
568,0,4,40,48,8
569,0,4,40,52,4
570,0,4,40,56,0
571,0,4,44,0,52
572,0,4,44,4,48
573,0,4,44,8,44
574,0,4,44,12,40
575,0,4,44,16,36
576,0,4,44,20,32
577,0,4,44,24,28
578,0,4,44,28,24
579,0,4,44,32,20
580,0,4,44,36,16
581,0,4,44,40,12
582,0,4,44,44,8
583,0,4,44,48,4
584,0,4,44,52,0
585,0,4,48,0,48
586,0,4,48,4,44
587,0,4,48,8,40
588,0,4,48,12,36
589,0,4,48,16,32
590,0,4,48,20,28
591,0,4,48,24,24
592,0,4,48,28,20
593,0,4,48,32,16
594,0,4,48,36,12
595,0,4,48,40,8
596,0,4,48,44,4
597,0,4,48,48,0
598,0,4,52,0,44
599,0,4,52,4,40
600,0,4,52,8,36
601,0,4,52,12,32
602,0,4,52,16,28
603,0,4,52,20,24
604,0,4,52,24,20
605,0,4,52,28,16
606,0,4,52,32,12
607,0,4,52,36,8
608,0,4,52,40,4
609,0,4,52,44,0
610,0,4,56,0,40
611,0,4,56,4,36
612,0,4,56,8,32
613,0,4,56,12,28
614,0,4,56,16,24
615,0,4,56,20,20
616,0,4,56,24,16
617,0,4,56,28,12
618,0,4,56,32,8
619,0,4,56,36,4
620,0,4,56,40,0
621,0,4,60,0,36
622,0,4,60,4,32
623,0,4,60,8,28
624,0,4,60,12,24
625,0,4,60,16,20
626,0,4,60,20,16
627,0,4,60,24,12
628,0,4,60,28,8
629,0,4,60,32,4
630,0,4,60,36,0
631,0,4,64,0,32
632,0,4,64,4,28
633,0,4,64,8,24
634,0,4,64,12,20
635,0,4,64,16,16
636,0,4,64,20,12
637,0,4,64,24,8
638,0,4,64,28,4
639,0,4,64,32,0
640,0,4,68,0,28
641,0,4,68,4,24
642,0,4,68,8,20
643,0,4,68,12,16
644,0,4,68,16,12
645,0,4,68,20,8
646,0,4,68,24,4
647,0,4,68,28,0
648,0,4,72,0,24
649,0,4,72,4,20
650,0,4,72,8,16
651,0,4,72,12,12
652,0,4,72,16,8
653,0,4,72,20,4
654,0,4,72,24,0
655,0,4,76,0,20
656,0,4,76,4,16
657,0,4,76,8,12
658,0,4,76,12,8
659,0,4,76,16,4
660,0,4,76,20,0
661,0,4,80,0,16
662,0,4,80,4,12
663,0,4,80,8,8
664,0,4,80,12,4
665,0,4,80,16,0
666,0,4,84,0,12
667,0,4,84,4,8
668,0,4,84,8,4
669,0,4,84,12,0
670,0,4,88,0,8
671,0,4,88,4,4
672,0,4,88,8,0
673,0,4,92,0,4
674,0,4,92,4,0
675,0,4,96,0,0
676,0,8,0,0,92
677,0,8,0,4,88
678,0,8,0,8,84
679,0,8,0,12,80
680,0,8,0,16,76
681,0,8,0,20,72
682,0,8,0,24,68
683,0,8,0,28,64
684,0,8,0,32,60
685,0,8,0,36,56
686,0,8,0,40,52
687,0,8,0,44,48
688,0,8,0,48,44
689,0,8,0,52,40
690,0,8,0,56,36
691,0,8,0,60,32
692,0,8,0,64,28
693,0,8,0,68,24
694,0,8,0,72,20
695,0,8,0,76,16
696,0,8,0,80,12
697,0,8,0,84,8
698,0,8,0,88,4
699,0,8,0,92,0
700,0,8,4,0,88
701,0,8,4,4,84
702,0,8,4,8,80
703,0,8,4,12,76
704,0,8,4,16,72
705,0,8,4,20,68
706,0,8,4,24,64
707,0,8,4,28,60
708,0,8,4,32,56
709,0,8,4,36,52
710,0,8,4,40,48
711,0,8,4,44,44
712,0,8,4,48,40
713,0,8,4,52,36
714,0,8,4,56,32
715,0,8,4,60,28
716,0,8,4,64,24
717,0,8,4,68,20
718,0,8,4,72,16
719,0,8,4,76,12
720,0,8,4,80,8
721,0,8,4,84,4
722,0,8,4,88,0
723,0,8,8,0,84
724,0,8,8,4,80
725,0,8,8,8,76
726,0,8,8,12,72
727,0,8,8,16,68
728,0,8,8,20,64
729,0,8,8,24,60
730,0,8,8,28,56
731,0,8,8,32,52
732,0,8,8,36,48
733,0,8,8,40,44
734,0,8,8,44,40
735,0,8,8,48,36
736,0,8,8,52,32
737,0,8,8,56,28
738,0,8,8,60,24
739,0,8,8,64,20
740,0,8,8,68,16
741,0,8,8,72,12
742,0,8,8,76,8
743,0,8,8,80,4
744,0,8,8,84,0
745,0,8,12,0,80
746,0,8,12,4,76
747,0,8,12,8,72
748,0,8,12,12,68
749,0,8,12,16,64
750,0,8,12,20,60
751,0,8,12,24,56
752,0,8,12,28,52
753,0,8,12,32,48
754,0,8,12,36,44
755,0,8,12,40,40
756,0,8,12,44,36
757,0,8,12,48,32
758,0,8,12,52,28
759,0,8,12,56,24
760,0,8,12,60,20
761,0,8,12,64,16
762,0,8,12,68,12
763,0,8,12,72,8
764,0,8,12,76,4
765,0,8,12,80,0
766,0,8,16,0,76
767,0,8,16,4,72
768,0,8,16,8,68
769,0,8,16,12,64
770,0,8,16,16,60
771,0,8,16,20,56
772,0,8,16,24,52
773,0,8,16,28,48
774,0,8,16,32,44
775,0,8,16,36,40
776,0,8,16,40,36
777,0,8,16,44,32
778,0,8,16,48,28
779,0,8,16,52,24
780,0,8,16,56,20
781,0,8,16,60,16
782,0,8,16,64,12
783,0,8,16,68,8
784,0,8,16,72,4
785,0,8,16,76,0
786,0,8,20,0,72
787,0,8,20,4,68
788,0,8,20,8,64
789,0,8,20,12,60
790,0,8,20,16,56
791,0,8,20,20,52
792,0,8,20,24,48
793,0,8,20,28,44
794,0,8,20,32,40
795,0,8,20,36,36
796,0,8,20,40,32
797,0,8,20,44,28
798,0,8,20,48,24
799,0,8,20,52,20
800,0,8,20,56,16
801,0,8,20,60,12
802,0,8,20,64,8
803,0,8,20,68,4
804,0,8,20,72,0
805,0,8,24,0,68
806,0,8,24,4,64
807,0,8,24,8,60
808,0,8,24,12,56
809,0,8,24,16,52
810,0,8,24,20,48
811,0,8,24,24,44
812,0,8,24,28,40
813,0,8,24,32,36
814,0,8,24,36,32
815,0,8,24,40,28
816,0,8,24,44,24
817,0,8,24,48,20
818,0,8,24,52,16
819,0,8,24,56,12
820,0,8,24,60,8
821,0,8,24,64,4
822,0,8,24,68,0
823,0,8,28,0,64
824,0,8,28,4,60
825,0,8,28,8,56
826,0,8,28,12,52
827,0,8,28,16,48
828,0,8,28,20,44
829,0,8,28,24,40
830,0,8,28,28,36
831,0,8,28,32,32
832,0,8,28,36,28
833,0,8,28,40,24
834,0,8,28,44,20
835,0,8,28,48,16
836,0,8,28,52,12
837,0,8,28,56,8
838,0,8,28,60,4
839,0,8,28,64,0
840,0,8,32,0,60
841,0,8,32,4,56
842,0,8,32,8,52
843,0,8,32,12,48
844,0,8,32,16,44
845,0,8,32,20,40
846,0,8,32,24,36
847,0,8,32,28,32
848,0,8,32,32,28
849,0,8,32,36,24
850,0,8,32,40,20
851,0,8,32,44,16
852,0,8,32,48,12
853,0,8,32,52,8
854,0,8,32,56,4
855,0,8,32,60,0
856,0,8,36,0,56
857,0,8,36,4,52
858,0,8,36,8,48
859,0,8,36,12,44
860,0,8,36,16,40
861,0,8,36,20,36
862,0,8,36,24,32
863,0,8,36,28,28
864,0,8,36,32,24
865,0,8,36,36,20
866,0,8,36,40,16
867,0,8,36,44,12
868,0,8,36,48,8
869,0,8,36,52,4
870,0,8,36,56,0
871,0,8,40,0,52
872,0,8,40,4,48
873,0,8,40,8,44
874,0,8,40,12,40
875,0,8,40,16,36
876,0,8,40,20,32
877,0,8,40,24,28
878,0,8,40,28,24
879,0,8,40,32,20
880,0,8,40,36,16
881,0,8,40,40,12
882,0,8,40,44,8
883,0,8,40,48,4
884,0,8,40,52,0
885,0,8,44,0,48
886,0,8,44,4,44
887,0,8,44,8,40
888,0,8,44,12,36
889,0,8,44,16,32
890,0,8,44,20,28
891,0,8,44,24,24
892,0,8,44,28,20
893,0,8,44,32,16
894,0,8,44,36,12
895,0,8,44,40,8
896,0,8,44,44,4
897,0,8,44,48,0
898,0,8,48,0,44
899,0,8,48,4,40
900,0,8,48,8,36
901,0,8,48,12,32
902,0,8,48,16,28
903,0,8,48,20,24
904,0,8,48,24,20
905,0,8,48,28,16
906,0,8,48,32,12
907,0,8,48,36,8
908,0,8,48,40,4
909,0,8,48,44,0
910,0,8,52,0,40
911,0,8,52,4,36
912,0,8,52,8,32
913,0,8,52,12,28
914,0,8,52,16,24
915,0,8,52,20,20
916,0,8,52,24,16
917,0,8,52,28,12
918,0,8,52,32,8
919,0,8,52,36,4
920,0,8,52,40,0
921,0,8,56,0,36
922,0,8,56,4,32
923,0,8,56,8,28
924,0,8,56,12,24
925,0,8,56,16,20
926,0,8,56,20,16
927,0,8,56,24,12
928,0,8,56,28,8
929,0,8,56,32,4
930,0,8,56,36,0
931,0,8,60,0,32
932,0,8,60,4,28
933,0,8,60,8,24
934,0,8,60,12,20
935,0,8,60,16,16
936,0,8,60,20,12
937,0,8,60,24,8
938,0,8,60,28,4
939,0,8,60,32,0
940,0,8,64,0,28
941,0,8,64,4,24
942,0,8,64,8,20
943,0,8,64,12,16
944,0,8,64,16,12
945,0,8,64,20,8
946,0,8,64,24,4
947,0,8,64,28,0
948,0,8,68,0,24
949,0,8,68,4,20
950,0,8,68,8,16
951,0,8,68,12,12
952,0,8,68,16,8
953,0,8,68,20,4
954,0,8,68,24,0
955,0,8,72,0,20
956,0,8,72,4,16
957,0,8,72,8,12
958,0,8,72,12,8
959,0,8,72,16,4
960,0,8,72,20,0
961,0,8,76,0,16
962,0,8,76,4,12
963,0,8,76,8,8
964,0,8,76,12,4
965,0,8,76,16,0
966,0,8,80,0,12
967,0,8,80,4,8
968,0,8,80,8,4
969,0,8,80,12,0
970,0,8,84,0,8
971,0,8,84,4,4
972,0,8,84,8,0
973,0,8,88,0,4
974,0,8,88,4,0
975,0,8,92,0,0
976,0,12,0,0,88
977,0,12,0,4,84
978,0,12,0,8,80
979,0,12,0,12,76
980,0,12,0,16,72
981,0,12,0,20,68
982,0,12,0,24,64
983,0,12,0,28,60
984,0,12,0,32,56
985,0,12,0,36,52
986,0,12,0,40,48
987,0,12,0,44,44
988,0,12,0,48,40
989,0,12,0,52,36
990,0,12,0,56,32
991,0,12,0,60,28
992,0,12,0,64,24
993,0,12,0,68,20
994,0,12,0,72,16
995,0,12,0,76,12
996,0,12,0,80,8
997,0,12,0,84,4
998,0,12,0,88,0
999,0,12,4,0,84
1000,0,12,4,4,80
1001,0,12,4,8,76
1002,0,12,4,12,72
1003,0,12,4,16,68
1004,0,12,4,20,64
1005,0,12,4,24,60
1006,0,12,4,28,56
